message,action
Hola jarvis,GREET
When does the sun set?,TIME
Order 2 large pepperoni pizzas,PIZZA
Display the time,TIME
Will it snow tonight?,WEATHER
Heyo,GREET
I am hungry for pizza,PIZZA
I'd like a pizza pie,PIZZA
How are you,GREET
Can you tell me what time it is?,TIME
WHat's up?,GREET
Where is the closest pizza place?,PIZZA
What is the high for today?,WEATHER
Good afternoon,GREET
How hot is it outside?,WEATHER
Tell me something funny,JOKE
Is it going to rain today?,WEATHER
Tell me a good joke,JOKE
What is the temperature outside?,WEATHER
Make me laugh Jarvis,JOKE
What time is it in California?,TIME
What time is it?,TIME
How's it going?,GREET
"Jarvis, make me roll on the floor laughing",JOKE
Can you order me a pizza?,PIZZA
Order me a Dominoes pizza,PIZZA
Do you have the time?,TIME
I need a laugh,JOKE
Is it going to be sunny tomorrow?,WEATHER
I bet you can't make me chuckle,JOKE
How much time until midnight?,TIME
I will have a slice of barbecue veggie pizza.,PIZZA
Why did the chicken cross the road?,JOKE
I think your joke was offensive,JOKE
That's what she said,JOKE
It is snowing today.,WEATHER
Can I have a 12 inch pizza?,PIZZA
What time are we leaving?,TIME
When does this class start?,TIME
"""Hi, what's your name?",GREET
"""Jarvis, tell me a joke.",JOKE
Do you like cheese pizza?,PIZZA
"""Hey, what's up?",GREET
How are you?,GREET
What is your favorite joke?,JOKE
How's the weather today?,WEATHER
Order me a pizza from Leonardo's.,PIZZA
What time is it?,TIME
What time does the clock say?,TIME
Hi!,GREET
How long has it been?,TIME
Is it raining outside?,WEATHER
What time do you eat lunch?,TIME
Hey,GREET
What is your favorite kind of pizza?,PIZZA
How's your day been?,GREET
Do you prefer Domino's pizza or Leonardo's?,PIZZA
I like to ski when the weather is cold.,WEATHER
Dave Chappelle tells funny jokes.,JOKE
When is your bed time?,TIME
I know a funny joke.,JOKE
Do you know any good jokes?,JOKE
Hello,GREET
Some strange weather were having today.,WEATHER
Nice weather we're having today.,WEATHER
I like the warm weather.,WEATHER
The weather is not nice today.,WEATHER
There are 24 hours in a day.,TIME
"""order a pizza for me, jarvis",PIZZA
what time is it?,TIME
good evening,GREET
can you tell me the weather here,WEATHER
is it sunny,WEATHER
good afternoon,GREET
what's the temperature,WEATHER
hi jarvis,GREET
can i have the time?,TIME
do you have any jokes?,JOKE
what is the weather?,WEATHER
can you tell me the time,TIME
greetings,GREET
please give me the time,TIME
what is the time?,TIME
"""tell me the time, please",TIME
do you know any jokes?,JOKE
is it raining out?,WEATHER
tell me something funny,JOKE
"""i will take a pizza, please",PIZZA
can you tell me a joke?,JOKE
hey,GREET
can i get a bbq chicken pizza?,PIZZA
hello,GREET
"""jarvis, what time is it now",TIME
hello my best chatbot friend,GREET
how are you?,GREET
how does it look outside?,WEATHER
what is the weather like?,WEATHER
"""jarvis, order me a pizza please",PIZZA
do you understand human humor?,JOKE
"""order me a pizza, please",PIZZA
"""can you tell me the time, please",TIME
i want to laugh,JOKE
what is the time right now,TIME
get a cheese pizza for me,PIZZA
Please purchase a pepperoni pizza for me,PIZZA
"""Jarvis, order a margarita pizza",PIZZA
I'm feeling hungry for pizza.,PIZZA
Good morning,GREET
Is it raining?,WEATHER
Is the sun shining?,WEATHER
Nice to see you,GREET
Call for pizza please,PIZZA
Cheer me up,JOKE
Hey there,GREET
Tell me a joke,JOKE
What time is it?,TIME
How are things?,GREET
Hi,GREET
Let me know the time,TIME
Could you tell me the time?,TIME
What is the current time?,TIME
Say something funny,JOKE
Can you please order pizza?,PIZZA
"""Jarvis, look up the time",TIME
Do you know any good jokes?,JOKE
Let's order pizza,PIZZA
Tell me the weather,WEATHER
I'd like to have some pizza.,PIZZA
What kind of weather is it?,WEATHER
How warm is it?,WEATHER
What is the temperature?,WEATHER
Good afternoon,GREET
Is it cold currently?,WEATHER
What's the time?,TIME
Hello,GREET
Is it hot outside?,WEATHER
Get me some pizza.,PIZZA
Have you heard anything funny lately?,JOKE
Tell me the time,TIME
Good evening,GREET
What's up?,GREET
I need a laugh,JOKE
"can you tell me the time, please",TIME
hit me with a funny,JOKE
when is it?,TIME
what time is the thing?,TIME
what time is it?,TIME
time please!,TIME
what hour is it?,TIME
are you funny?,JOKE
"tell me a joke, jarvis",JOKE
tell me the time,TIME
tell me what time it is,TIME
tell me the hour,TIME
how's it going?,GREET
make me laugh,JOKE
"hello, jarvis",GREET
hey! howdy!,GREET
"jarvis, what is the hour?",TIME
what is the weather?,WEATHER
got any jokes?,JOKE
what's the time?,TIME
please order some za,PIZZA
"knock, knock...",JOKE
what's your best joke?,JOKE
hi,GREET
what is the temperature?,WEATHER
take a pizza order,PIZZA
how is the weather today?,WEATHER
what's up?,GREET
report today's forecast,WEATHER
what's that pizza place?,PIZZA
looks like rain,WEATHER
"what's going on, jarvis?",GREET
greetings,GREET
"jarvis, know any funny jokes?",JOKE
tell me the weather,WEATHER
pizza pie with everything on it,PIZZA
is it nice out today?,WEATHER
can you order a pizza?,PIZZA
pizza please!,PIZZA
what's it like outside?,WEATHER
do i need my rain jacket today,WEATHER
make me laugh,JOKE
is it snowing,WEATHER
jarvis order me a slice,PIZZA
is the sun out,WEATHER
do you have any wisecracks,JOKE
"i'm hungry, thoughts on pizza",PIZZA
i want some pizza,PIZZA
it's been a minute,GREET
hi jarvis,GREET
how cold is it outside,WEATHER
is it sunny,WEATHER
how are you doing,GREET
order me a cheese pizza,PIZZA
what's up,GREET
time now,TIME
what is going on,GREET
have any new jokes,JOKE
what's the time,TIME
tell me something funny,JOKE
how is it hanging,GREET
cheer me up,JOKE
can you tell me the time,TIME
hi there,GREET
yo,GREET
make me smile,JOKE
tell me the time,TIME
time for some za,PIZZA
what is your favorite joke,JOKE
order me a pie jarvis,PIZZA
what is the weather like,WEATHER
hello jarvis,GREET
what is the weather outside,WEATHER
know any jokes,JOKE
i need some za,PIZZA
should i wear gloves today,WEATHER
can you order me some pizza,PIZZA
how are you,GREET
i need some pepperoni za,PIZZA
i need the time,TIME
give me your best one-liner,JOKE
can you tell me the temperature,WEATHER
i could use the current time,TIME
whats the time?,TIME
do you have a sense of humor?,JOKE
Do you know any jokes?,JOKE
sup,GREET
What's your favorite joke,JOKE
how much is a pizza?,PIZZA
Do you have the time?,TIME
time?,TIME
tell me the weather.,WEATHER
"""Jarvis, tell me a joke",JOKE
hi,GREET
What's it like outside now?,WEATHER
How's the weather outside?,WEATHER
weather?,WEATHER
Whats up,GREET
give me the time.,TIME
tell me something funny,JOKE
I want a pepperoni pizza.,PIZZA
Is it cold?,WEATHER
Hey Jarvis,GREET
do you want to hear a joke?,JOKE
How's it going?,GREET
hello,GREET
Can you order me pizza?,PIZZA
how are you?,GREET
"""Jarvis, whats the temperature?",WEATHER
"""Jarvis, what's it like outside?",WEATHER
Get me a pizza now.,PIZZA
Hola,GREET
can i hear a joke?,JOKE
hows it going?,GREET
I'll have two pizzas for delivery.,PIZZA
what time of day is it?,TIME
do you have a good joke for me?,JOKE
What does your clock say?,TIME
"""buy me a pizza, Jarvis.",PIZZA
tell me something funny,JOKE
Order me pizza.,PIZZA
order me slices of pizza.,PIZZA
tell me the time.,TIME
"""Jarvis, can you tell time?",TIME
order me some slices,PIZZA
Howdy,GREET
whats the weather like outside?,WEATHER
give me a weather update,WEATHER
Whats the forecast?,WEATHER
What's the weather like?,WEATHER
What's up?,GREET
Tell me a joke!,JOKE
Is it warm,WEATHER
time check,TIME
hey,GREET
order me some pizza,PIZZA
Pizza please!,PIZZA
Have any jokes?,JOKE
let's hear a joke,JOKE
how's it going?,GREET
yo,GREET
What's it like outside?,WEATHER
Get pizza for me,PIZZA
let's order pizza,PIZZA
Good morning!,GREET
Let's get pizza!,PIZZA
tell me how late it is,TIME
tell me how early it is,TIME
How cold is it,WEATHER
What time is it?,TIME
Hi,GREET
Can you tell me the time right now?,TIME
order a pizza,PIZZA
let's get takeout,PIZZA
say something funny,JOKE
What is the current weather,WEATHER
what's the time?,TIME
Can you tell me a joke?,JOKE
Please tell me the current time,TIME
greetings!,GREET
sup?,GREET
What is the current time?,TIME
What's the temperature?,WEATHER
Do you have any jokes?,JOKE
Is it cold out,WEATHER
hello,GREET
How late is it?,TIME
tel me how late it is,TIME
Hello Jarvis,GREET
Know any jokes?,JOKE
What's the temperature,WEATHER
Tell us a joke,JOKE
tell me the current time,TIME
What's in the forecast?,WEATHER
I want some food.,PIZZA
Welcome great to see you!,GREET
Tell me a knock knock joke,JOKE
What goes up and down but does not move?,JOKE
Hi Jarvis.,GREET
I want some food delivered.,PIZZA
When are you free today?,TIME
What time does the movie start?,TIME
Knock knock,JOKE
Do I need a rain coat?,WEATHER
"""Get a pizza delivered, extra cheese.",PIZZA
What temperature is it?,WEATHER
Do I need a coat?,WEATHER
Is it snowing?,WEATHER
Get me some pizza.,PIZZA
What do you get if you cross a Christmas tree we an iPad?,JOKE
Hi great to see you today!,GREET
I'm hungry.,PIZZA
"""G'day, that's a good day to you !",GREET
I haven't seen you in forever Jarvis!,GREET
Are you free in the morning?,TIME
Find me a vegan pizza place.,PIZZA
When should we meet?,TIME
Where is a fancy pizza place?,PIZZA
What part of the car is the laziest?,JOKE
It's a pleasure to meet you!,GREET
What time will you be ready?,TIME
I want to eat a pizza.,PIZZA
What time does the store close?,TIME
Good morning.,GREET
I want pizza.,PIZZA
Tell me something funny.,JOKE
Why do bicycles fall over?,JOKE
Is it raining?,WEATHER
What did the dad say during comedy night?,JOKE
What do elves learn in school?,JOKE
When does the show end?,TIME
What time should we meet?,TIME
Where is the nearest pizza place?,PIZZA
Is the weather bad today?,WEATHER
Is winter cold this year?,WEATHER
Make me laugh.,JOKE
is it snowing?,WEATHER
should I wear sunscreen today?,WEATHER
is it raining?,WEATHER
is it AM or PM?,TIME
good afternoon,GREET
jarvis make me laugh,JOKE
what's the wind chill today?,WEATHER
order me a big pepperoni pie,PIZZA
should I wear a rain jacket outside?,WEATHER
hello,GREET
is it the morning?,TIME
pizza is my favorite food ever,PIZZA
is it pouring out right now?,WEATHER
Tell me a knee-slapper,JOKE
when did you laugh the hardest within the last week?,JOKE
"""pizza is the best, please get me one",PIZZA
What is the silliest thing you have ever heard?,JOKE
Honestly italian food isn't that great but pizza is fantastic,PIZZA
how humid is it out?,WEATHER
what's up boi,GREET
how's it going?!,GREET
what's going on?!,GREET
is it morning yet?,TIME
"""will today be cloudy, overcast, sunny, or mixed?",WEATHER
good morning,GREET
how late is it?,TIME
tell me a knock-knock joke please,JOKE
how are you?,GREET
make me giggle,JOKE
when is it gonna be noon?,TIME
howdy!,GREET
is it 9:34 am?,TIME
"""jarvis tell a joke, but not a dirty one",JOKE
What time is it?,TIME
what time of day is right now?,TIME
will you please order me a dominos pizza,PIZZA
humor me,JOKE
is it gonna be a windy one today?,WEATHER
is it dusk?,TIME
tell me a joke,JOKE
what's a good joke?,JOKE
make me chuckle with some sensible humor,JOKE
hola,GREET
hey!,GREET
please get me pizza,PIZZA
i love pizza so much,PIZZA
how long until it's 6 PM?,TIME
i occasionally dream about pizza,PIZZA
i fucking love pizza and i want some right now,PIZZA
"""for the love of god, order me a pizza",PIZZA
how early is it?,TIME
What time is it?,TIME
is it that late?,TIME
get me a pizza delivery,PIZZA
bread plus cheese plus sauce equals delicious,PIZZA
How are you?,GREET
sometimes we get 5 weeks in a month,TIME
The wind is blowing cold and strong,WEATHER
I'm joking.,JOKE
Life is a comedy to him who thinks and a tragedy to him who feels.,JOKE
"""Is Jacket,mittens,cap,thermal wear,gloves and snow boots needed for the current weather?",WEATHER
"""Occasionally, I sleep late in the night",TIME
when was the sunset yesterday evening?,TIME
Hi!,GREET
The last joke got the biggest laugh.,JOKE
what is the current time?,TIME
what have you been up to?,GREET
when daylight saving time starts?,TIME
Forecast of tomorrow is cloudy with a little drizzle,WEATHER
"""To stay healthy, itâ€™s best to keep off junk food. You are what you eat.",PIZZA
"""Flatbread,Thin Crust,Sicilian Style,Chicago Deep Dish,Neapolitan Crust and NY Style Pizza are more famous pizza crust.",PIZZA
Why should I joke about it?,JOKE
Spectacular rainbow displays happen when half the sky is still dark with raining clouds.,WEATHER
"""Winter weather can be cool, chilly, cold, freezing, icy, frosty, very cold or bitter cold.",WEATHER
What's the weather like?,WEATHER
can we order food for lunch?,PIZZA
when is the sun rise time for tomorrow morning?,TIME
"""Currently sky is overcast, gray and dark.",WEATHER
I will call you later,TIME
Joke is always funny.,JOKE
"""The climate of this region in summer is warm,hot and humid",WEATHER
The temperature outside is 18 degrees below zero.,WEATHER
How is it going?,GREET
Have a great HAHA for xmas and new year!,JOKE
I prefer to watch comedy movies because I prefer laughing over being scared or involved in a suspenseful action scene,JOKE
Goodbye!,GREET
"""silly jokes, puns, and riddles for children and kids",JOKE
Pizza!Yummy!!!,PIZZA
Fahrenheit is used in the U.S.; Celsius is used in the other English-speaking countries.,WEATHER
Current weather forecast is snowstorm and blizzard,WEATHER
"""All the taste, not on your waist!",PIZZA
is it already afternoon?,TIME
It is nice and bright outside.,WEATHER
It is great to meet you!,GREET
Good to see you buddy,GREET
I love jokes.,JOKE
Eat less during dinner when compare to breakfast.,PIZZA
She greeted us with a smile.,GREET
We all laughed loudly when she made a joke.,JOKE
Have a very wonderful day!,GREET
Have a good night!,GREET
I like cheesy pizza very much,PIZZA
"""Four seasons are Spring,Summer,Fall and Winter.",WEATHER
I'm running late for the meeting,TIME
I'm really hungry.,PIZZA
going to tell some joke,JOKE
Hey!,GREET
Hello!,GREET
"""Knock, knock----Who's There?----Ashe----Ashe who?",JOKE
Why shouldn't you tell an egg a joke? Because it might crack up!,JOKE
Macaroni and Cheese Pizza recipe is easy to make for a fun family dinner!,PIZZA
Have a nice day!,GREET
"""Since 2000, I lived in US for 3 years",TIME
"""Fog which is also known as  haze, mist or smog occurs near dawn when the temperature of the day is normally at it's lowest.",WEATHER
"""And I don't cook,either. Not as long as they still deliver pizza.",PIZZA
Wish you a happy birthday!,GREET
when is my next meeting?,TIME
Did you hear the joke about the peanut butter? I'm not telling you. You might spread it!,JOKE
Kids were playfully joking with each other.,JOKE
I wake up early in the morning everyday,TIME
"""Nice to meet you, I'm    what is your name?",GREET
order me a pizza,PIZZA
what is your purpose?,GREET
what's the temperature?,WEATHER
I want pizza,PIZZA
will it be cold today?,WEATHER
what does the clock say?,TIME
weather,WEATHER
what's it look like outside?,WEATHER
any precipitation this morning?,WEATHER
what time is it?,TIME
time?,TIME
is it raining?,WEATHER
"""Hello, Jarvis",GREET
talk dirty to me,JOKE
be hilarious,JOKE
humor me,JOKE
what time it be?,TIME
I am hungry,PIZZA
Hi,GREET
say something funny,JOKE
let's see your wit,JOKE
What's up?,GREET
is it cloudy?,WEATHER
pizza,PIZZA
tell me a joke please,JOKE
what hour is it?,TIME
I would really like something to eat,PIZZA
I want lunch,PIZZA
weather?,WEATHER
I'm sad,JOKE
How are you?,GREET
cheer me up,JOKE
Good to see you!,GREET
what time?,TIME
It is a fine day. How are you getting on?,GREET
who are you?,GREET
what time do you have?,TIME
can you check the humidity for me Jarvis?,WEATHER
what's it like outside,WEATHER
Jarvis order me a large cheese,PIZZA
give me a good knee slapper,JOKE
pizza now,PIZZA
call in me a whole large pie with anchovies jarvis,PIZZA
hi,GREET
what's presently on the clock,TIME
tell me a good one liner,JOKE
what time does your brain think it is?,TIME
tell me something that will make me lol,JOKE
Time check Jarvis!,TIME
Tell me a jest,JOKE
what's it like outside?,WEATHER
tell me a good pun,JOKE
what is the present time?,TIME
Jarvis what is the time?,TIME
how has your day been Jarvis?,GREET
I wanna laugh,JOKE
tell me a joke,JOKE
hey,GREET
Tell me a joke about a good time you had,JOKE
is it cold outside Jarvis,WEATHER
eyy what's up chief,GREET
Hey Jarvis,GREET
current weather please jarvis,WEATHER
Top of the morning to you Jarvis,GREET
Jarvis order some pizza,PIZZA
what is the temperature,WEATHER
Jarvis order me a tomato pie,PIZZA
throw me a joke,JOKE
what's the weather like today Jarvis?,WEATHER
jarvis current time please,TIME
Jarvis order me some Domino's,PIZZA
Jarvis order me some Leonardo's,PIZZA
check the weather Jarvis,WEATHER
hola jarvis,GREET
what's up,GREET
Hi Jarvis,GREET
Jarvis order me some za,PIZZA
Jarvis please check the clock,TIME
weather check,WEATHER
order pizza for lunch,PIZZA
will i be cold in shorts,WEATHER
how are you today,GREET
what time is it,TIME
tell me something funny,JOKE
tell me a joke,JOKE
tell me how late it is,TIME
make me laugh,JOKE
how's the weather,WEATHER
what's your favorite joke,JOKE
order a large cheese,PIZZA
is it cloudy,WEATHER
get a large pepperoni,PIZZA
tell me the time in london,TIME
is it time to go,TIME
what time is it right now,TIME
hey jarvis,GREET
knock knock,JOKE
good evening,GREET
good morning,GREET
is it raining,WEATHER
say something funny,JOKE
tell me what the clock says,TIME
good afternoon,GREET
order from dominos,PIZZA
hi how are you,GREET
what time is it in new york,TIME
order a medium cheese pizza with mushrooms from the pizza place,PIZZA
order a pizza,PIZZA
call the pizza place,PIZZA
tell me a joke about pizza,JOKE
do you think i need a jacket,WEATHER
is it seven o'clock,TIME
good morning jarvis,GREET
how hot will it get today,WEATHER
what's the temperature,WEATHER
hi jarvis,GREET
hello,GREET
what is the current time,TIME
yo what's up,GREET
tell me how early it is,TIME
do i need my umbrella,WEATHER
testing time,WEATHER
get a pizza,PIZZA
do you know any jokes,JOKE
order a pizza for me,PIZZA
how have you been,GREET
how have you been,GREET
how cold will it get today,WEATHER
is it time to go,TIME
get pizza for dinner,PIZZA
order five pizzas,PIZZA
Could I have the time right now?,TIME
How is your day going?,GREET
How are you?,GREET
"""Evening news is where they begin with â€˜Good eveningâ€™, and then proceed to tell you why it isnâ€™t.",JOKE
Howâ€™s the weather tomorrow?,WEATHER
"""I asked God for a bike, but I know God doesnâ€™t work that way. So I stole a bike and asked for forgiveness.",JOKE
How would you like your pizza?,PIZZA
How do you like our weather?,WEATHER
what's the time now?,TIME
What size pizza do you want?,PIZZA
What will the weather be like tomorrow?,WEATHER
what's the date today?,TIME
How much do you want pizza,PIZZA
Is the weather always like this?,WEATHER
Children: You spend the first 2 years of their life teaching them to walk and talk. Then you spend the next 16 years telling them to sit down and shut-up.,JOKE
Whatâ€™s the weather forecast for tomorrow?,WEATHER
What do you think of the weather here?,WEATHER
Hello.,GREET
Nice to meet you,GREET
"""I'm ask for a pizza, please",PIZZA
Light travels faster than sound. This is why some people appear bright until you hear them speak.,JOKE
What time is it?,TIME
"""Politicians and diapers have one thing in common. They should both be changed regularly, and for the same reason.",JOKE
"""I want to die peacefully in my sleep, like my grandfather.. Not screaming and yelling like the passengers in his car.",JOKE
"""I will have a large cheese pizza, sausage and mushrooms",PIZZA
Do you have the time?,TIME
"""The early bird might get the worm, but the second mouse gets the cheese.",JOKE
Do not argue with an idiot. He will drag you down to his level and beat you with experience.,JOKE
Could you bring me some pizza?,PIZZA
Hello I'd like to order a pepperoni pizza.,PIZZA
What time?,TIME
May I have the time right now?,TIME
Long time no see.,GREET
What was the weather like yesterday?,WEATHER
"""Hi, there!",GREET
I want some pizza.,PIZZA
How have you been?,GREET
I need to give the pizza place a call to bring us a pizza.,PIZZA
What time you left yesterday?,TIME
What time should I put alarm for?,TIME
Where can I order pizza?,PIZZA
tell me a joke about Trump,JOKE
What time we should go sleep?,TIME
can you tell me kids jokes,JOKE
Is it going to rain today?,WEATHER
You are so funny Jarvis!,JOKE
Do you want to have pizza for dinner?,PIZZA
tell me a joke,JOKE
Hello my friend,GREET
Do you think weather is warm enough for swimming?,WEATHER
What is the temperature Jarvis?,WEATHER
What time is my meeting?,TIME
Good morning Jarvis,GREET
Can you order a pizza for me please?,PIZZA
Welcome home Jarvis,GREET
What time we should go for a walk?,TIME
What time you want me to be ready?,TIME
Tell me a joke Jarvis?,JOKE
"""Jarvis, can we make plans for warm summer?",WEATHER
What time is it right now?,TIME
"""Jarvis, do you know bad jokes?",JOKE
She will be an hour late,TIME
How many hours do you sleep Jarvis?,TIME
You are so funny,JOKE
Can you tell me a very funny story ?,JOKE
What time is it?,TIME
I want some political jokes,JOKE
What time is right now?,TIME
Where is the best Italian pizza place?,PIZZA
This is a joke,JOKE
I want sunny weather Jarvis,WEATHER
Good evening Mr. Jarvis,GREET
What time I can see you?,TIME
What time I should leave?,TIME
I prefer warm temperature,WEATHER
When is the right time to visit her,TIME
Do you know my favorite pizza?,PIZZA
What time should I go sleep?,TIME
What is the best pizza place around?,PIZZA
"""I like summers, hot weather and sun",WEATHER
Hello my virtual soulmate,GREET
Hello Jarvis,GREET
What is the best joke youâ€™ve ever heard?,JOKE
jarvis tell me the time right now,TIME
im hungry,PIZZA
whats up,GREET
tell me a joke,JOKE
knock knock,JOKE
greetings bot,GREET
what is the time right now,TIME
whats the weather today,WEATHER
what time is it currently,TIME
say something silly,JOKE
make me giggle,JOKE
say something goofy,JOKE
can you get me a pizza,PIZZA
what will the temperature be today,WEATHER
is it going to rain today,WEATHER
can i ask what is the time,TIME
make me laugh,JOKE
is it going to be sunny,WEATHER
give me the hour and minute,TIME
crack some jokes,JOKE
what is the current time,TIME
order me a pizza please,PIZZA
tell me the current weather,WEATHER
hi jarvis,GREET
pizza for dinner tonight,PIZZA
please order a cheese pizza from leonardos,PIZZA
order a large pie,PIZZA
buy a pizza for me,PIZZA
nice to see you jarvis,GREET
be comical,JOKE
sup jarvis,GREET
say something funny,JOKE
whats it gonna be like out today,WEATHER
i would like a cheese pizza,PIZZA
hey man,GREET
hey jarvis,GREET
how many degrees is it,WEATHER
what is the forecast,WEATHER
clock,TIME
Cheese slice!,PIZZA
What time is it?,TIME
Whatâ€™s so funny?,JOKE
Get me pizza,PIZZA
How warm is it?,WEATHER
Hey there,GREET
I want a slice,PIZZA
Give me pizza,PIZZA
Whats the weather?,WEATHER
Joke please,JOKE
Order a pizza,PIZZA
Whatâ€™s the time?,TIME
How is it out?,WEATHER
Is it snowing?,WEATHER
I need a laugh,JOKE
Hey,GREET
Got the time?,TIME
Can you give me a joke,JOKE
Whatâ€™s your clock say?,TIME
Greetings,GREET
Get me a pepperoni pie,PIZZA
Whats the temperature?,WEATHER
I want pizza,PIZZA
Whats up,GREET
Time?,TIME
Pizza without pineapple!,PIZZA
Tell me a joke,JOKE
Is it sunny or rainy?,WEATHER
Whatâ€™s the current time?,TIME
Make me laugh,JOKE
Letâ€™s get pizza,PIZZA
Whatâ€™s funny?,JOKE
Hello,GREET
Tell me something funny,JOKE
Sup,GREET
Is it nice out?,WEATHER
Yo,GREET
Tell me the current time,TIME
How cold is it?,WEATHER
how are you today,GREET
wazzup,GREET
How are you doing today?,GREET
I’m ready for less rain and more snow,WEATHER
When will you go?,TIME
Or a corny joke,JOKE
it’s so stormy out,WEATHER
When does it end,TIME
hi there,GREET
what time are you going?,TIME
where have you been,GREET
What time is it?,TIME
what’s up,GREET
Hello Jarvis,GREET
It’s a beautiful day out today,WEATHER
hi-ya,GREET
Bonjour!,GREET
do you think that storm will hit us,WEATHER
do you like tomato sauce or garlic olive oil sauce on your pizza,PIZZA
The show starts at 5 PM,TIME
Do you know what time it is?,TIME
I don’t know a lot of good jokes,JOKE
knock knock,JOKE
rabbit farts,JOKE
it’s so windy out today,WEATHER
You look flushed,JOKE
do you think it will rain again todau,WEATHER
sometimes pizza is also called pie or flatbread,PIZZA
I hope more hurricanes don’t hit,WEATHER
People seem to like pepperoni pizza a lot and sausage,PIZZA
I think it’s 9:52 AM,TIME
Do you like a lot of toppings,PIZZA
Do you know any funny jokes?,JOKE
It’s supposed to snow later this week,WEATHER
what kind of pizza should we get,PIZZA
"It’s pretty cloudy out, but it’s not supposed to rain",WEATHER
hey,GREET
When does it start,TIME
What’s invisible and smells like carrots?,JOKE
hahaha,JOKE
tell me something hilarious,JOKE
but I have to eat the gluten free crust option,PIZZA
It snowed this past weekend up on the mountains,WEATHER
helloooo,GREET
How long until you get here,TIME
I love cheese pizza,PIZZA
How many pizzas should we order,PIZZA
why hello there,GREET
greetings,GREET
what’s the weather going to be tomorrow,WEATHER
It’s so cold outside,WEATHER
Do you like pizza?,PIZZA
howdy,GREET
i LOVE pizza,PIZZA
what time do you have to go to class?,TIME
who’s there,JOKE
lol,JOKE
When are you going,TIME
welcome,GREET
we have a good restaurant in town called American Flatbread that has awesome wood-fired pizza,PIZZA
it’s nice to see you again,GREET
when is this,TIME
How’s your day going?,GREET
is it cloudy?,WEATHER
hey hows it going?,GREET
pass me a slice please,PIZZA
tell me a funny,JOKE
It’s nice to meet you,GREET
how are you doing?,GREET
tell me a dumb blonde joke,JOKE
What’s the weather outside?,WEATHER
How long until my pizza arrives?,PIZZA
what time is it?,TIME
a man walks into a bar,JOKE
what toppings would you like?,PIZZA
make me laugh,JOKE
knock knock,JOKE
want some pizza?,PIZZA
you can’t go wrong with pizza,PIZZA
"Hi, whats up?",GREET
what do you call a,JOKE
what is the forecast?,WEATHER
Good morning,GREET
can you tell me the time right now?,TIME
Can i order a pizza?,PIZZA
hey,GREET
why did the chicken cross the road?,JOKE
welcome home,GREET
extra large pizza please,PIZZA
Whats the weather like?,WEATHER
Hello bot how are you?,GREET
do you know what time it is?,TIME
thats a good one,JOKE
It’s been a while,GREET
"no toppings, extra cheese",PIZZA
is it raining?,WEATHER
how hot is it?,WEATHER
cheesy crust is the best,PIZZA
Long time no see,GREET
tell me the weather right now,WEATHER
please deliver a pizza,PIZZA
how long do i have?,TIME
Hi,GREET
Good morning!,GREET
One pizza to go,PIZZA
What's the weather like out there?,WEATHER
Do you have the time?,TIME
I want a pizza with extra cheese!,PIZZA
Could you tell me the weather today?,WEATHER
Do you know the time?,TIME
Could you tell me some jokes?,JOKE
Howâ€™s the weather today?,WEATHER
Good evening!,GREET
Anyone here want pizza?,PIZZA
How's your day?,GREET
A pizza for here,PIZZA
"""Could I have a cheese pizza, please?",PIZZA
A joke please,JOKE
Show me a joke!,JOKE
I really need a joke,JOKE
Can you tell me the time right now?,TIME
What jokes do you have?,JOKE
One large pepperoni pizza please,PIZZA
I would like a pizza with ham and pineapple,PIZZA
Hello Jarvis,GREET
What's the temperature?,WEATHER
Get some pizza for me,PIZZA
Is it cold today?,WEATHER
Good afternoon!,GREET
How are you doing today?,GREET
How's everything?,GREET
Could you give me the time?,TIME
Could I bother you for the time?,TIME
Could you tell me what time it is?,TIME
Do you know any joke?,JOKE
Pizza time!,PIZZA
Is it sunny outside?,WEATHER
How's it going?,GREET
Whatâ€™s the weather forecast today?,WEATHER
Nice to see you,GREET
Do you know what time it is?,TIME
what's a funny joke?,JOKE
tell me a joke.,JOKE
"""what is the temperate, precipitation, and wind?",WEATHER
what are the calories of the piece of pizza?,PIZZA
how do the climate change?,WEATHER
you alright?,GREET
a joke is a funny story or line that's meant to make people laugh.,JOKE
where can i get the pizza?,PIZZA
how is it going?,GREET
this pizza is delicious.,PIZZA
"""this pizza contains pepperoni, mushrooms, onions, sausage, bacon, extra cheese, black olives, green peppers, pineapple, spinach.",PIZZA
he told a very funny joke,JOKE
what is the weather like today?,WEATHER
hello jarvis,GREET
halo,GREET
what date is it today?,TIME
what is your favorite pizza,PIZZA
"""the weather is hot or cold, wet or dry, calm or stormy, clear or cloudy.",WEATHER
what is the ingredients of the pizza?,PIZZA
how long is the period?,TIME
give me some jokes,JOKE
when is the holiday or the vacation?,TIME
what is the time?,TIME
what's new?,GREET
hi,GREET
what is the pizza favor?,PIZZA
"""the sky can be cloudy, overcast, cloudless, clear, bright, blue, gray, and dark.",WEATHER
i would like to order the pizza.,PIZZA
the weather is terrible,WEATHER
a comic says funny things; a comedian says things funny,JOKE
when should i take the class?,TIME
it is a interesting joke,JOKE
this joke is really fun,JOKE
it is snowing.,WEATHER
this is a humorous story,JOKE
have a good day,GREET
the weather is really cool.,WEATHER
"""the weather can be rainy, wet, humid, dry, arid, frigid, foggy, windy, stormy, breezy, windless, calm.",WEATHER
